               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.041911,            0.013517,           0.0055825,             0.95652,             0.91133,             0.92544,              0.6072,            0.047782,            0.006848,           0.0026574,           0.0080002,           0.0080002,           0.0080002
                 103,            0.048294,            0.012081,            0.012073,             0.97054,             0.95238,              0.9325,             0.65787,            0.038246,           0.0060781,           0.0016078,           0.0079804,           0.0079804,           0.0079804
                 104,            0.039947,            0.010722,           0.0053445,             0.97054,             0.95238,              0.9325,             0.65787,            0.038246,           0.0060781,           0.0016078,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028227,            0.011575,           0.0084073,             0.96884,             0.95238,             0.93127,             0.70381,            0.037944,           0.0059295,           0.0016217,           0.0079408,           0.0079408,           0.0079408
                 106,            0.033608,            0.011032,           0.0086031,              0.9677,             0.95238,             0.92879,             0.64659,            0.035205,            0.005914,           0.0017511,            0.007921,            0.007921,            0.007921
                 107,            0.032903,            0.012062,           0.0076069,              0.9717,             0.95238,             0.92879,             0.68255,             0.03711,           0.0060774,           0.0015879,           0.0079012,           0.0079012,           0.0079012
                 108,            0.035811,            0.012378,            0.010851,              0.9717,             0.95238,             0.92879,             0.68255,             0.03711,           0.0060774,           0.0015879,           0.0078814,           0.0078814,           0.0078814
                 109,            0.033167,            0.013153,           0.0083729,             0.97076,             0.95238,              0.9313,             0.66775,            0.038319,           0.0062096,           0.0014875,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03281,            0.012135,           0.0097263,             0.96886,             0.95238,             0.93129,             0.67305,            0.035636,           0.0059901,           0.0015033,           0.0078418,           0.0078418,           0.0078418
                 111,            0.033823,            0.012289,           0.0061972,             0.96681,             0.95238,             0.93003,             0.52468,            0.041781,           0.0066391,           0.0015496,            0.007822,            0.007822,            0.007822
                 112,            0.051259,            0.012316,           0.0066613,             0.96681,             0.95238,             0.93003,             0.52468,            0.041781,           0.0066391,           0.0015496,           0.0078022,           0.0078022,           0.0078022
                 113,            0.036613,             0.01022,           0.0052223,             0.96227,             0.95238,             0.92766,              0.7088,            0.035115,           0.0063992,           0.0017117,           0.0077824,           0.0077824,           0.0077824
                 114,            0.033847,            0.011246,           0.0057749,             0.72683,             0.95238,             0.92647,             0.65499,              0.0392,           0.0063552,           0.0017653,           0.0077626,           0.0077626,           0.0077626
                 115,            0.033782,              0.0102,           0.0060032,             0.91334,             0.95238,              0.9254,             0.67792,            0.041409,           0.0060899,           0.0015615,           0.0077428,           0.0077428,           0.0077428
                 116,            0.039794,            0.010022,           0.0037193,             0.91334,             0.95238,              0.9254,             0.67792,            0.041409,           0.0060899,           0.0015615,            0.007723,            0.007723,            0.007723
                 117,             0.03532,            0.012624,            0.005344,             0.95791,             0.95238,             0.92877,             0.73881,            0.038914,           0.0058978,           0.0015882,           0.0077032,           0.0077032,           0.0077032
                 118,            0.033083,            0.010539,           0.0075483,             0.96937,             0.95238,             0.92878,             0.65673,            0.034075,           0.0059023,           0.0014985,           0.0076834,           0.0076834,           0.0076834
                 119,             0.03439,            0.012251,           0.0065087,               0.961,             0.95238,             0.92876,              0.5519,            0.037192,           0.0059738,           0.0015952,           0.0076636,           0.0076636,           0.0076636
                 120,            0.030824,            0.011999,           0.0085356,               0.961,             0.95238,             0.92876,              0.5519,            0.037192,           0.0059738,           0.0015952,           0.0076438,           0.0076438,           0.0076438
                 121,            0.033494,            0.010261,           0.0038991,             0.96418,             0.95238,             0.93126,               0.614,             0.03592,           0.0058232,           0.0017415,            0.007624,            0.007624,            0.007624
                 122,            0.033449,            0.011597,            0.010081,             0.86675,             0.91943,             0.92902,             0.55749,            0.036591,            0.006086,           0.0019874,           0.0076042,           0.0076042,           0.0076042
